supplier_name_substring;supplier_attribute;supplier_value_pattern;pattern_type;prom_attribute;prom_attribute_unit_template;prom_value_template;priority;is_active;category_id;rule_kind;notes
;"Розміри, мм";([0-9]+(?:\.[0-9]+)?)\s*[xхX×]\s*([0-9]+(?:\.[0-9]+)?)\s*[xхX×]\s*([0-9]+(?:\.[0-9]+)?);regex;Висота;мм;$2 ;19;TRUE;5140401;extract;
;"Розміри, мм";([0-9]+(?:\.[0-9]+)?)\s*[xхX×]\s*([0-9]+(?:\.[0-9]+)?)\s*[xхX×]\s*([0-9]+(?:\.[0-9]+)?);regex;Довжина;мм;$3 ;20;TRUE;5140401;extract;
;Вес;([0-9]+(?:\.[0-9]+)?)\s*кг;regex;Вага;г;$1 кг;21;TRUE;5140401;extract;
;Вес;^([0-9]+(?:\.[0-9]+)?)$;regex;Вага;г;$1 ;22;TRUE;5140401;extract;
;Строк гарантії;([0-9]+)\s*(міс)\.?;regex;Гарантійний термін;$2 ;$1 ;23;TRUE;5140401;extract;
.*\bAHD\b.*;;;regex;Тип камери;;AHD;1;TRUE;301105;name;
.*HDCVI.*;;;regex;Тип камери;;HDCVI;2;TRUE;301105;name;
.*HD-CVI.*;;;regex;Тип камери;;HDCVI;3;TRUE;301105;name;
.*HD-TVI.*;;;regex;Тип камери;;HD-TVI;4;TRUE;301105;name;
.*HDTVI.*;;;regex;Тип камери;;HD-TVI;5;TRUE;301105;name;
.*Turbo HD.*;;;regex;Тип камери;;HD-TVI;6;TRUE;301105;name;
\bIP\b;;;regex;Тип камери;;IP;7;TRUE;301105;name;
\bWi-Fi\b;;;regex;Тип камери;;Wi-Fi;8;TRUE;301105;name;
\bWiFi\b;;;regex;Тип камери;;Wi-Fi;9;TRUE;301105;name;
\bWi\s*Fi\b;;;regex;Тип камери;;Wi-Fi;10;TRUE;301105;name;
.*PTZ.*;;;regex;Форм-фактор;;Поворотний;11;TRUE;301105;name;
.*Starlight.*;;;regex;Перемикання режимів "День/ніч";;Starlight;12;TRUE;301105;name;
.*ColorVu.*;;;regex;Перемикання режимів "День/ніч";;ColorVu;13;TRUE;301105;name;
\b([0-9]+)\s*(?:MP|МП)\b;;;regex;Роздільна здатність (Мп);;$1 ;14;TRUE;301105;name;
(?i).*антивандальн.*;;;regex;Антивандальний корпус;;Так;15;TRUE;301105;name;
\b720[Pp]?\b;;;regex;Роздільна здатність (Мп);;1;16;TRUE;301105;name;
\b1080[Pp]?\b;;;regex;Роздільна здатність (Мп);;2;17;TRUE;301105;name;
\b4[Kk]\b;;;regex;Роздільна здатність (Мп);;8;18;TRUE;301105;name;
;Форм-фактор;купольна;regex;Форм-фактор;;Купольний;19;TRUE;301105;attribute;
;Форм-фактор;циліндрична;regex;Форм-фактор;;Циліндричний (bullet);20;TRUE;301105;attribute;
;Форм-фактор;керована;regex;Форм-фактор;;Поворотний;21;TRUE;301105;attribute;
;Тип об'єктива;фіксований;regex;Тип об'єктива;;Фіксований;22;TRUE;301105;attribute;
;Тип об'єктива;моторизован;regex;Тип об'єктива;;Моторизований;23;TRUE;301105;attribute;
;Тип об'єктива;вар[іи]фокальн;regex;Тип об'єктива;;Варіофокальний;24;TRUE;301105;attribute;
;Підтримка Micro SD;^є$;regex;Порт для SD-карти;;Так;25;TRUE;301105;attribute;
;Вбудований мікрофон;^є$;regex;Вбудований мікрофон;;Так;26;TRUE;301105;attribute;
;Підтримка РОЕ;^є$;regex;Живлення;;PoE;27;TRUE;301105;attribute;
;Вхідна напруга / струм;12\s*[Vв];regex;Живлення;;Мережа 12В;28;TRUE;301105;attribute;
;Вхідна напруга / струм;24\s*[Vв];regex;Живлення;;Мережа 24В;29;TRUE;301105;attribute;
;Колір;білий;regex;Колір;;Білий;30;TRUE;301105;attribute;
;Колір;чорний;regex;Колір;;Чорний;31;TRUE;301105;attribute;
;"Довжина, мм";"([0-9]+(?:[.,][0-9]+)?)";regex;Довжина;мм;$1 ;32;TRUE;301105;extract;
;"Ширина, мм";"([0-9]+(?:[.,][0-9]+)?)";regex;Ширина;мм;$1 ;33;TRUE;301105;extract;
;"Висота, мм";"([0-9]+(?:[.,][0-9]+)?)";regex;Висота;мм;$1 ;34;TRUE;301105;extract;
;"Вага, кг";"([0-9]+(?:[.,][0-9]+)?)";regex;Вага;г;$1 кг;35;TRUE;301105;extract;
;"Гарантія, міс";([0-9]+);regex;Гарантійний термін;міс;$1 ;36;TRUE;301105;extract;
;Ступінь захисту (IP);(IP[0-9]{2});regex;Захист обладнання від води і пилу IP;;$1 ;37;TRUE;301105;extract;
;Тип підсвічування;ІЧ;regex;Наявність ІЧ-підсвічування;;Так;38;TRUE;301105;attribute;
;Тип підсвічування;LED;regex;Наявність LED-підсвічування;;Так;39;TRUE;301105;attribute;
;Нічне підсвічування м;([0-9]+);regex;Дальність ІЧ-підсвічування;м;$1 ;40;TRUE;301105;extract;
;Широкий динамічний діапазон (WDR);WDR;regex;WDR;;Так;41;TRUE;301105;attribute;
;Тип сенсора;Progressive.*CMOS;regex;Тип матриці;;Progressive Scan CMOS;42;TRUE;301105;attribute;
;Тип сенсора;\bCMOS\b;regex;Тип матриці;;CMOS;43;TRUE;301105;attribute;
;Кут огляду (градуси);По горизонталі:\s*([0-9.]+)°;regex;Кут огляду по горизонталі;град.;$1 ;44;TRUE;301105;extract;
;Кут огляду (градуси);По вертикалі:\s*([0-9.]+)°;regex;Кут огляду по вертикалі;град.;$1 ;45;TRUE;301105;extract;
;"Фокусна відстань, мм";"^([0-9]+(?:[.,][0-9]+)?)$";regex;Фокусна відстань;мм;$1 ;46;TRUE;301105;extract;
;"Фокусна відстань, мм";"([0-9]+(?:[.,][0-9]+)?)\s*-\s*([0-9]+(?:[.,][0-9]+)?)";regex;Мінімальне значення фокусної відстані;мм;$1 ;47;TRUE;301105;extract;
;"Фокусна відстань, мм";"([0-9]+(?:[.,][0-9]+)?)\s*-\s*([0-9]+(?:[.,][0-9]+)?)";regex;Максимальне значення фокусної відстані;мм;$2 ;48;TRUE;301105;extract;
;LPD (визначення номерних знаків);^є$;regex;Розпізнавання номерів;;Так;49;TRUE;301105;attribute;
;Wi-Fi;.+;regex;Бездротовий інтерфейс;;Так;50;TRUE;301105;attribute;
;Формат стиснення відео;H\.265\+;contains;Формат стиснення;;H.265+/H.265;51;TRUE;301105;extract;
;Формат стиснення відео;H\.264\+;contains;Формат стиснення;;H.264+/H.264;52;TRUE;301105;extract;
;Формат стиснення відео;MJPEG;contains;Формат стиснення;;MJPEG;53;TRUE;301105;extract;
;Формат стиснення відео;MPEG-4;contains;Формат стиснення;;MPEG-4;54;TRUE;301105;extract;
;Мінімальне освітлення;"([0-9]+(?:[.,][0-9]+)?)\s*люкс";regex;Чутливість;люкс;$1 ;55;TRUE;301105;extract;
;Максимальна апертура (світлосила);F\s*No\.?\s*([0-9.]+);regex;Світлосила об'єктива;F;$1 ;56;TRUE;301105;extract;
;Діапазон управління поворотом;Кут повороту:\s*([0-9]+)°;regex;Кут повороту;град.;$1 ;57;TRUE;301105;extract;
;Діапазон управління поворотом;вертикальний:\s*([0-9]+)°;regex;Кут нахилу;град.;$1 ;58;TRUE;301105;extract;
;Умови експлуатації;(-?[0-9]+)\s*°?[CС]?\s*[~～〜\-–—]+\s*\+?([0-9]+)\s*°?[CС];regex;Мінімальна робоча температура;град.;$1 ;59;TRUE;301105;extract;
;Умови експлуатації;(-?[0-9]+)\s*°?[CС]?\s*[~～〜\-–—]+\s*\+?([0-9]+)\s*°?[CС];regex;Максимальна робоча температура;град.;$2 ;60;TRUE;301105;extract;
;Цифрове зменшення шуму;3D;contains;DNR;;3D;61;TRUE;301105;attribute;
