№;Линк категории поставщика;channel;prefix;coef_retail;coef_dealer;Номер_групи;Назва_групи;Ідентифікатор_підрозділу;Посилання_підрозділу;Особисті_нотатки;Ярлик;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;feed;category id;Назва у постачальника;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
39;https://secur.ua/ajax/videosposterezennia/videokameri-aiaks/status=1;site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;301105;https://prom.ua/Kamery-videonablyudeniya;S;;Вага;г;;50;25;Відеокамери;Тип устройства;;Відеокамери
40;https://secur.ua/ajax/videosposterezennia/videokameri-aiaks/status=1;prom;prom_;"0,99";"1,3";148391021;Ajax;301105;https://prom.ua/Kamery-videonablyudeniya;"S, Sprom, noindex";;Вага;г;;50;25;Відеокамери;Тип устройства;;Відеокамери
41;https://secur.ua/ajax/komfort-ta-produktivnist/datchiki-kachestva-vozduha/status=1;site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;153719;https://prom.ua/Datchiki-kachestva-vozduha;S;;Вага;г;;50;400;Датчики якості повітря;Тип устройства;;Датчики якості повітря
42;https://secur.ua/ajax/komfort-ta-produktivnist/datchiki-kachestva-vozduha/status=1;prom;prom_;"0,99";"1,3";148391021;Ajax;153719;https://prom.ua/Datchiki-kachestva-vozduha;"S, Sprom, noindex";;Вага;г;;50;400;Датчики якості повітря;Тип устройства;;Датчики якості повітря
43;https://secur.ua/ajax/komfort-ta-produktivnist/rele-osvitlennia-ta-zivlennia/status=1;site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;410612;https://prom.ua/Nastennye-vyklyuchateli;S;;Вага;г;;50;398;Реле освітлення та живлення;Тип устройства;;Реле
44;https://secur.ua/ajax/komfort-ta-produktivnist/rele-osvitlennia-ta-zivlennia/status=1;prom;prom_;"0,99";"1,3";148391021;Ajax;410612;https://prom.ua/Nastennye-vyklyuchateli;"S, Sprom, noindex";;Вага;г;;50;398;Реле освітлення та живлення;Тип устройства;;Реле
45;https://secur.ua/ajax/komfort-ta-produktivnist/vykljuchateli/status=1;site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;410612;https://prom.ua/Nastennye-vyklyuchateli;S;;Вага;г;;50;281;Розумний вимикач (wi fi);Тип устройства;;Розумний вимикач (wi fi)
46;https://secur.ua/ajax/komfort-ta-produktivnist/vykljuchateli/status=1;prom;prom_;"0,99";"1,3";148391021;Ajax;410612;https://prom.ua/Nastennye-vyklyuchateli;"S, Sprom, noindex";;Вага;г;;50;281;Розумний вимикач (wi fi);Тип устройства;;Розумний вимикач (wi fi)
47;https://secur.ua/ajax/komfort-ta-produktivnist/knopki-dlja-vykljuchatelja/status=1;site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;410612;https://prom.ua/Nastennye-vyklyuchateli;S;;Вага;г;;50;397;Кнопки для вимикача;Тип устройства;;Кнопки для вимикача
48;https://secur.ua/ajax/komfort-ta-produktivnist/knopki-dlja-vykljuchatelja/status=1;prom;prom_;"0,99";"1,3";148391021;Ajax;410612;https://prom.ua/Nastennye-vyklyuchateli;"S, Sprom, noindex";;Вага;г;;50;397;Кнопки для вимикача;Тип устройства;;Кнопки для вимикача
