prom_category_id;prom_category_name;rozetka_category_id;rozetka_category_name;matched_royalty_id;matched_royalty_name;match_level;brand;royalty_percent;price_from;price_to;threshold;coef_uncategorized;coef_no_base;coef_viatec;coef_secur;coef_lp;coef
;;;;;;;;;;;;1.4;1.33;;;;
3029;Система розумний будинок > Домофони;260040;Аксесуари до домофонів;259632;Домофони;1;;15;2000;6999;1.33;;;0.9;0.9;1;
3029;Система розумний будинок > Домофони;260040;Аксесуари до домофонів;259632;Домофони;1;;10;7000;13999;1.25;;;0.9;0.9;1;
3029;Система розумний будинок > Домофони;260040;Аксесуари до домофонів;259632;Домофони;1;;7;14000;19999;1.21;;;0.9;0.9;1;
3029;Система розумний будинок > Домофони;260040;Аксесуари до домофонів;259632;Домофони;1;;5;20000;99999;1.18;;;0.9;0.9;1;
3029;Система розумний будинок > Домофони;260040;Аксесуари до домофонів;259632;Домофони;1;;3;100000;999999999;1.16;;;0.9;0.9;1;
3030;Засоби та системи СКУД > Системи СКУД;4650477;Комплектуючі для СККД;4627851;Товари для бізнесу;3;;18;;;1.38;;;0.9;0.9;1;
3030;Засоби та системи СКУД > Системи СКУД;4650477;Комплектуючі для СККД;4627851;Товари для бізнесу;3;;12;4000;7999;1.28;;;0.9;0.9;1;
3030;Засоби та системи СКУД > Системи СКУД;4650477;Комплектуючі для СККД;4627851;Товари для бізнесу;3;;7;8000;19999;1.21;;;0.9;0.9;1;
3030;Засоби та системи СКУД > Системи СКУД;4650477;Комплектуючі для СККД;4627851;Товари для бізнесу;3;;5;20000;99999;1.18;;;0.9;0.9;1;
3030;Засоби та системи СКУД > Системи СКУД;4650477;Комплектуючі для СККД;4627851;Товари для бізнесу;3;;3;100000;999999999;1.16;;;0.9;0.9;1;
30813;Спецодяг та взуття > Захисний спецодяг;4655589;Захисний спецодяг;2033137;Одяг;2;;23;;;1.47;;;0.9;0.9;1;
30813;Спецодяг та взуття > Захисний спецодяг;4655589;Захисний спецодяг;2033137;Одяг;2;;15;2000;3999;1.33;;;0.9;0.9;1;
30813;Спецодяг та взуття > Захисний спецодяг;4655589;Захисний спецодяг;2033137;Одяг;2;;10;4000;9999;1.25;;;0.9;0.9;1;
30813;Спецодяг та взуття > Захисний спецодяг;4655589;Захисний спецодяг;2033137;Одяг;2;;5;10000;999999999;1.18;;;0.9;0.9;1;
33915;Аксесуари > Дощовики;4674414;Дощовики військові;4674363;Тактичний та військовий одяг;2;;22;;;1.45;;;0.9;0.9;1;
33915;Аксесуари > Дощовики;4674414;Дощовики військові;4674363;Тактичний та військовий одяг;2;;17;800;3999;1.36;;;0.9;0.9;1;
33915;Аксесуари > Дощовики;4674414;Дощовики військові;4674363;Тактичний та військовий одяг;2;;12;4000;9999;1.28;;;0.9;0.9;1;
33915;Аксесуари > Дощовики;4674414;Дощовики військові;4674363;Тактичний та військовий одяг;2;;7;10000;999999999;1.21;;;0.9;0.9;1;
50505;Радіовимірювальні прилади > Металошукачі, металодетектори;100957;Металошукачі;4627893;Спорт і захоплення;gap:81202;;18;0;7999;1.38;;;0.9;0.9;1;
50505;Радіовимірювальні прилади > Металошукачі, металодетектори;100957;Металошукачі;81202;Активний відпочинок, туризм та хобі;1;;12;8000;34999;1.28;;;0.9;0.9;1;
50505;Радіовимірювальні прилади > Металошукачі, металодетектори;100957;Металошукачі;81202;Активний відпочинок, туризм та хобі;1;;7;35000;54999;1.21;;;0.9;0.9;1;
50505;Радіовимірювальні прилади > Металошукачі, металодетектори;100957;Металошукачі;81202;Активний відпочинок, туризм та хобі;1;;5;55000;99999;1.18;;;0.9;0.9;1;
50505;Радіовимірювальні прилади > Металошукачі, металодетектори;100957;Металошукачі;81202;Активний відпочинок, туризм та хобі;1;;3;100000;999999999;1.16;;;0.9;0.9;1;
50904;Устаткування для електропостачання > Щитове обладнання;3803596;Шафи, корпуси, щитки;2577232;Інструменти й обладнання;2;;18;;;1.38;;;0.9;0.9;1;
50904;Устаткування для електропостачання > Щитове обладнання;3803596;Шафи, корпуси, щитки;2577232;Інструменти й обладнання;2;;10;5000;9999;1.25;;;0.9;0.9;1;
50904;Устаткування для електропостачання > Щитове обладнання;3803596;Шафи, корпуси, щитки;2577232;Інструменти й обладнання;2;;7;10000;19999;1.21;;;0.9;0.9;1;
50904;Устаткування для електропостачання > Щитове обладнання;3803596;Шафи, корпуси, щитки;2577232;Інструменти й обладнання;2;;5;20000;99999;1.18;;;0.9;0.9;1;
50904;Устаткування для електропостачання > Щитове обладнання;3803596;Шафи, корпуси, щитки;2577232;Інструменти й обладнання;2;;3;100000;999999999;1.16;;;0.9;0.9;1;
50906;Засоби зв'язку та позиціонування > Переговорні пристрої;84018;Рації;4627893;Спорт і захоплення;gap:84018;;18;0;2999;1.38;;;0.9;0.9;1;
50906;Засоби зв'язку та позиціонування > Переговорні пристрої;84018;Рації;84018;Рації;0;;12;3000;29999;1.28;;;0.9;0.9;1;
50906;Засоби зв'язку та позиціонування > Переговорні пристрої;84018;Рації;84018;Рації;0;;7;30000;49999;1.21;;;0.9;0.9;1;
50906;Засоби зв'язку та позиціонування > Переговорні пристрої;84018;Рації;84018;Рації;0;;5;50000;99999;1.18;;;0.9;0.9;1;
50906;Засоби зв'язку та позиціонування > Переговорні пристрої;84018;Рації;84018;Рації;0;;3;100000;999999999;1.16;;;0.9;0.9;1;
50918;Інструмент для мережевих робіт > Кабельні тестери, wi-fi тестери;4672208;Тестери кабельні;2577232;Інструменти й обладнання;2;;18;;;1.38;;;0.9;0.9;1;
50918;Інструмент для мережевих робіт > Кабельні тестери, wi-fi тестери;4672208;Тестери кабельні;2577232;Інструменти й обладнання;2;;10;5000;9999;1.25;;;0.9;0.9;1;
50918;Інструмент для мережевих робіт > Кабельні тестери, wi-fi тестери;4672208;Тестери кабельні;2577232;Інструменти й обладнання;2;;7;10000;19999;1.21;;;0.9;0.9;1;
50918;Інструмент для мережевих робіт > Кабельні тестери, wi-fi тестери;4672208;Тестери кабельні;2577232;Інструменти й обладнання;2;;5;20000;99999;1.18;;;0.9;0.9;1;
50918;Інструмент для мережевих робіт > Кабельні тестери, wi-fi тестери;4672208;Тестери кабельні;2577232;Інструменти й обладнання;2;;3;100000;999999999;1.16;;;0.9;0.9;1;
50928;Активне мережеве обладнання > Устаткування для живлення через ethernet;80196;Мережеві адаптери;80111;Мережеве обладнання;1;;13;;;1.29;;;0.9;0.9;1;
50928;Активне мережеве обладнання > Устаткування для живлення через ethernet;80196;Мережеві адаптери;80111;Мережеве обладнання;1;;10;1000;8999;1.25;;;0.9;0.9;1;
50928;Активне мережеве обладнання > Устаткування для живлення через ethernet;80196;Мережеві адаптери;80111;Мережеве обладнання;1;;7;9000;33999;1.21;;;0.9;0.9;1;
50928;Активне мережеве обладнання > Устаткування для живлення через ethernet;80196;Мережеві адаптери;80111;Мережеве обладнання;1;;5;34000;69999;1.18;;;0.9;0.9;1;
50928;Активне мережеве обладнання > Устаткування для живлення через ethernet;80196;Мережеві адаптери;80111;Мережеве обладнання;1;;3;70000;999999999;1.16;;;0.9;0.9;1;
50928;Активне мережеве обладнання > Устаткування для живлення через ethernet;80196;Мережеві адаптери;80111;Мережеве обладнання;1;Starlink;7;;;1.21;;;0.9;0.9;1;
50928;Активне мережеве обладнання > Устаткування для живлення через ethernet;80196;Мережеві адаптери;80111;Мережеве обладнання;1;Starlink;7;1000;8999;1.21;;;0.9;0.9;1;
52806;Системи, що використовують сонячну енергію > Сонячні панелі;4629920;Сонячні панелі;4627949;Смартфони, ТВ і електроніка;gap:4629914;;22;0;1999;1.45;;;0.9;0.9;1;
52806;Системи, що використовують сонячну енергію > Сонячні панелі;4629920;Сонячні панелі;4629914;Альтернативні джерела енергії;1;;10;2000;9999;1.25;;;0.9;0.9;1;
