categoryId;offer id;article;name_ua;price;stock_quantity
1554082;3099428206;101284;Акумулятор EnerGo LiFePO4 12V 100Ah Bluetooth (NRG-KM12100LF-BX-BT);18535;3
1554082;3099428207;101285;Акумулятор EnerGo LiFePO4 12V 200Ah Bluetooth (NRG-KM12200LF-BX-BT);34229;1
1554082;3099428208;101286;Акумулятор EnerGo LiFePO4 24V 100Ah Bluetooth (NRG-KM24100LF-BX-BT);29949;1
1554082;3099581170;101290;Акумулятор EnerGo LiFePO4 24V 200Ah Bluetooth (NRG-KM24200LF-BX-BT);40451;1
1554082;3099581171;101291;Акумулятор EnerGo LiFePO4 51.2V 100Ah Bluetooth (NRG-KM51100LF-BX-BT);59913;1
1554082;3099993253;101292;Акумулятор EnerGo LiFePO4 12V 7Ah (NRG-KM12V7LF-BX);2022;13
1554082;3100406187;205393;Літієва акумуляторна батарея Dyness PowerBrick Plus 16,08кВт•г 51,2В 314А•г;122358;1
1554082;3100406206;700441;Акумулятор мультигелевий AGM LPM-MG 12V - 40 Ah 09/2023 s;3189;14
1554082;3100406209;700438;Акумулятор гелевий LPM-GL 12V - 20 Ah s;1910;15
1554082;3100406210;700443;Акумулятор гелевий LPM-GL 12V - 200 Ah (3100406210);23694;3
80108;3101116807;205401;Джерело безперебійного живлення Ritar E-RTM1000 ELF-L LED (600W);5495;4
1554082;3102667925;700448;Акумулятор LP LiFePO4 51,2V-150 Ah (7680 Wh) (BMS JK 150 А/100 А) RM BL;89029;1
1554082;3102667926;700447;Акумулятор LP LiFePO4 51,2V-150 Ah (7680 Wh) (BMS SP 150A/100 А) RM RS485/CAN LCD BL;97257;1
1554082;3102667927;700446;Акумулятор LP LiFePO4 51,2 V-150 Ah (7680 Wh) (BMS JK 150 А/100 А) RM RS485/CAN BL;92768;1
1554082;3102667928;700445;Акумулятор LP LiFePO4 51,2 V-150 Ah (7680 Wh) (BMS JK 150 А/100 А) RM RS485/CAN WH;92768;1
80108;3104650080;205428;Плата ДБЖ Trinix PSU-1205LED(BOARD) з кріпленням на DIN-рейку;1919;4
80108;3104970528;205433;Джерело безперебійного живлення Hikvision DS-UPS3000-R 3000 ВА;19841;4
80108;3108075980;205442;Джерело безперебійного живлення Hikvision DS-UPS600-R 600 ВА;3693;14
80108;3111061797;205452;Джерело безперебійного живлення Ritar PT-2KS-LCD 2000VA (1800Вт) з правильною синусоїдою;20167;1
1554082;3111061801;700529;Акумулятор AGM LPM 12V - 18 Ah s;1759;15
1554082;3112026923;205455;Акумуляторна батарея CSB HR1234WF2 12В 9А•г;1789;6
80108;3112743346;205456;Джерело безперебійного живлення Europower EP-MPS-800/12PLUS (500 Вт) 3/5/10/15/20А з правильною синусоїдою;6516;1
1554082;3119010884;205481;Модуль управління (BMS) для Dyness Stack100 Dyness SBDU100;47471;1
1554082;3119011413;205480;Акумуляторна батарея модульна Dyness Stack100 S51100 51.2V 100AH ​​(складова комплекту);53159;1
80108;3119918315;205484;Літієва акумуляторна батарея Deye BOS-B-Pack16-A3;113887;1
1554082;3121382084;700553;Акумулятор гелевий LPM-GL 12V - 55 Ah;5061;13
1554082;3121382085;700552;Акумулятор гелевий LPM-GL 12V - 65 Ah (3121382085);6309;10
1554082;3121382086;700551;Акумулятор гелевий LPM-GL 12V - 7 Ah (3121382086);733;12
1554082;3121382087;700550;Акумулятор гелевий LPM-GL 12V - 7.5 Ah;771;13
1554082;3121382088;700549;Акумулятор AGM LPM 12V - 5 Ah (3121382088);695;14
1554082;3121382089;700548;Акумулятор AGM LPM 12V - 7 Ah;827;12
1554082;3121382090;700547;Акумулятор AGM LPM 12V - 7.5 Ah;906;13
1554082;3121382091;700546;Акумулятор AGM LPM 12V - 9 Ah;1105;13
1554082;3121382092;700545;Тяговий свинцево-кислотний AGM акумулятор LP 6-DZM-20 Ah;3215;12
1554082;3121382093;700544;Тяговий свинцево-кислотний AGM акумулятор LP 6-DZM-35 Ah;4329;15
