product_type;theme;schedule;google_cat_id;google_cat_hint;notes
телекомунікації та зв'язок > пасивне мережеве обладнання > оптоволоконне обладнання > модулі GBIC та SFP;network;day;2121;Electronics > Networking > Repeaters & Transceivers;auto
телекомунікації та зв'язок > пасивне мережеве обладнання > оптоволоконне обладнання > оптичні конвертери;network;day;2121;Electronics > Networking > Repeaters & Transceivers;auto
телекомунікації та зв'язок > пасивне мережеве обладнання > патч-корди;network;day;1480;Electronics > Electronics Accessories > Cables > Network Cables;auto
телекомунікації та зв'язок > пасивне мережеве обладнання > патч-панелі;network;day;5273;Electronics > Electronics Accessories > Cable Management > Patch Panels;auto
телекомунікації та зв'язок > серверне обладнання > аксесуари та комплектуючі для серверного обладнання;network;day;331;Electronics > Computers > Computer Servers;auto
телекомунікації та зв'язок > серверне обладнання > мережеві накопичувачі;network;day;5269;Electronics > Electronics Accessories > Computer Components > Storage Devices > Network Storage Systems;auto
"техніка та електроніка > бездротовий зв'язок > мости, шлюзи бездротових мереж";network;day;5496;Electronics > Networking > Bridges & Routers > Wireless Access Points;auto
техніка та електроніка > телефони та аксесуари > стаціонарні телефони;network;day;271;Electronics > Communications > Telephony > Corded Phones;auto
техніка та електроніка > бездротовий зв'язок > Роутери;network_routers;day;5497;Electronics > Networking > Bridges & Routers > Wireless Routers;auto
телекомунікації та зв'язок > активне мережеве обладнання > комутатори;network_switches;night;2455;Electronics > Networking > Hubs & Switches;auto
спорт і відпочинок > товари для туризму та подорожей > газове обладнання для туризму > туристичні плити та пальники;outdoor;day;1015;Home & Garden > Kitchen & Dining > Kitchen Appliances > Portable Cooking Stoves;auto
спорт і відпочинок > товари для туризму та подорожей > каремати та сидушки;outdoor;day;1021;Sporting Goods > Outdoor Recreation > Camping & Hiking > Sleeping Pads;auto
спорт і відпочинок > товари для туризму та подорожей > туристичний посуд > туристичні фляги;outdoor;day;3435;Home & Garden > Kitchen & Dining > Food & Beverage Carriers > Canteens;auto
спорт і відпочинок > товари для туризму та подорожей > туристичні інструменти > ручні та налобні ліхтарі;outdoor;day;2454;Hardware > Tools > Flashlights & Headlamps > Headlamps;auto
"спорт і відпочинок > товари для туризму та подорожей > туристичні інструменти > Ножі для полювання, риболовлі та туризму";outdoor;day;3495;Sporting Goods > Outdoor Recreation > Camping & Hiking > Camping Tools > Hunting & Survival Knives;auto
Дім і сад > меблі > надувні меблі > Надувні матраци;outdoor;day;3695;Sporting Goods > Outdoor Recreation > Camping & Hiking > Camp Furniture > Air Mattresses;auto
"Зоотовари > товари для домашніх тварин і птахів > Годування домашніх тварин і птахів > годівниці, поїлки та миски для домашніх тварин і птахів";pet;day;6252;"Animals & Pet Supplies > Pet Supplies > Pet Bowls, Feeders & Waterers";auto
Зоотовари > товари для домашніх тварин і птахів > Товари для прогулянок і подорожей з тваринами > сумки і контейнери для перенесення домашніх тварин;pet;day;6251;Animals & Pet Supplies > Pet Supplies > Pet Carriers & Crates;auto
Зоотовари > товари для домашніх тварин і птахів > товари для догляду за домашніми тваринами > засоби для гігієни тварин;pet;day;6383;Animals & Pet Supplies > Pet Supplies > Pet Grooming Supplies;auto
електрообладнання > батареї та акумулятори > зарядні пристрої для акумуляторів;power;day;7167;Electronics > Electronics Accessories > Power > Battery Accessories > General Purpose Battery Chargers;auto
промислове обладнання та верстати > альтернативні джерела енергії > комплектуючі для альтернативних джерел енергії;power;day;4715;Hardware > Power & Electrical Supplies > Solar Energy Kits;auto
"промислове обладнання та верстати > альтернативні джерела енергії > системи, які використовують сонячну енергію > сонячні контролери";power;day;6817;Electronics > Electronics Accessories > Power > Battery Accessories > Battery Charge Controllers;auto
"промислове обладнання та верстати > альтернативні джерела енергії > системи, які використовують сонячну енергію > сонячні панелі";power;day;4714;Hardware > Power & Electrical Supplies > Solar Panels;auto
техніка та електроніка > аудіотехніка та аксесуари > батарейки;power;day;4928;Electronics > Electronics Accessories > Power > Batteries > General Purpose Batteries;auto
